data,valorAprovado
2020-08-27,3285600.0
2020-08-28,3868000.0
2020-08-29,5441439.450757576
2020-08-30,5441439.450757576
2020-08-31,8052500.0
2020-09-01,3260000.0
2020-09-02,5753000.0
2020-09-03,1860000.0
2020-09-04,7250000.0
2020-09-05,5441439.450757576
2020-09-06,5441439.450757576
2020-09-07,5441439.450757576
2020-09-08,10923000.0
2020-09-09,3354900.0
2020-09-10,8560000.0
2020-09-11,9914000.0
2020-09-12,5441439.450757576
2020-09-13,5441439.450757576
2020-09-14,7819500.0
2020-09-15,10736500.0
2020-09-16,10135000.0
2020-09-17,7520000.0
2020-09-18,9796000.0
2020-09-19,5441439.450757576
2020-09-20,5441439.450757576
2020-09-21,7628500.0
2020-09-22,3020000.0
2020-09-23,7848000.0
2020-09-24,6840000.0
2020-09-25,3662010.0
2020-09-26,5441439.450757576
2020-09-27,5441439.450757576
2020-09-28,876000.0
2020-09-29,4201000.0
2020-09-30,1481000.0
2020-10-01,2715000.0
2020-10-02,2114900.0
2020-10-03,5441439.450757576
2020-10-04,5441439.450757576
2020-10-05,1759000.0
2020-10-06,7408000.0
2020-10-07,7984000.0
2020-10-08,4718700.0
2020-10-09,7423000.0
2020-10-10,5441439.450757576
2020-10-11,5441439.450757576
2020-10-12,5441439.450757576
2020-10-13,5950000.0
2020-10-14,7651000.0
2020-10-15,6070000.0
2020-10-16,5015000.0
2020-10-17,5441439.450757576
2020-10-18,5441439.450757576
2020-10-19,12110000.0
2020-10-20,1811000.0
2020-10-21,11803000.0
2020-10-22,4867000.0
2020-10-23,2939000.0
2020-10-24,5441439.450757576
2020-10-25,550010.0
2020-10-26,3960000.0
2020-10-27,5054000.0
2020-10-28,6595000.0
2020-10-29,2044000.0
2020-10-30,1608000.0
2020-10-31,5441439.450757576
2020-11-01,5441439.450757576
2020-11-02,5441439.450757576
2020-11-03,19738900.0
2020-11-04,6062000.0
2020-11-05,4657000.0
2020-11-06,1467000.0
2020-11-07,5441439.450757576
2020-11-08,5441439.450757576
2020-11-09,3684000.0
2020-11-10,3159000.0
2020-11-11,9312390.0
2020-11-12,13955000.0
2020-11-13,29892600.0
2020-11-14,5441439.450757576
2020-11-15,5441439.450757576
2020-11-16,6473000.0
2020-11-17,2355000.0
2020-11-18,5274000.0
2020-11-19,2067000.0
2020-11-20,5789900.0
2020-11-21,5441439.450757576
2020-11-22,5441439.450757576
2020-11-23,9990499.0
2020-11-24,7163000.0
2020-11-25,4720000.0
2020-11-26,11635000.0
2020-11-27,26662800.0
2020-11-28,5441439.450757576
2020-11-29,5441439.450757576
2020-11-30,4830000.0
2020-12-01,16585700.0
2020-12-02,22577000.0
2020-12-03,9778000.0
2020-12-04,11050000.0
2020-12-05,5441439.450757576
2020-12-06,5441439.450757576
2020-12-07,21890000.0
2020-12-08,13003000.0
2020-12-09,19434500.0
2020-12-10,9762600.0
2020-12-11,1885000.0
2020-12-12,5441439.450757576
2020-12-13,5441439.450757576
2020-12-14,13828000.0
2020-12-15,9680000.0
2020-12-16,9611895.0
2020-12-17,6670000.0
2020-12-18,2809500.0
2020-12-19,5441439.450757576
2020-12-20,5441439.450757576
2020-12-21,14491000.0
2020-12-22,3445000.0
2020-12-23,7120500.0
2020-12-24,5441439.450757576
2020-12-25,5441439.450757576
2020-12-26,5441439.450757576
2020-12-27,5441439.450757576
2020-12-28,15467000.0
2020-12-29,23017000.0
2020-12-30,3970000.0
2020-12-31,333000.0
2021-01-01,5441439.450757576
2021-01-02,5441439.450757576
2021-01-03,5441439.450757576
2021-01-04,9805000.0
2021-01-05,2418000.0
2021-01-06,4650000.0
2021-01-07,5871000.0
2021-01-08,9636500.0
2021-01-09,5441439.450757576
2021-01-10,5441439.450757576
2021-01-11,14759000.0
2021-01-12,2865000.0
2021-01-13,4462000.0
2021-01-14,13193000.0
2021-01-15,5694000.0
2021-01-16,5441439.450757576
2021-01-17,5441439.450757576
2021-01-18,17583000.0
2021-01-19,5635000.0
2021-01-20,7560000.0
2021-01-21,7527000.0
2021-01-22,5775000.0
2021-01-23,5441439.450757576
2021-01-24,5441439.450757576
2021-01-25,5441439.450757576
2021-01-26,7119000.0
2021-01-27,6710000.0
2021-01-28,10197400.0
2021-01-29,9683000.0
2021-01-30,5441439.450757576
2021-01-31,5441439.450757576
2021-02-01,13902000.0
2021-02-02,3274700.0
2021-02-03,8735500.0
2021-02-04,9180000.0
2021-02-05,1582900.0
2021-02-06,7771500.0
2021-02-07,5441439.450757576
2021-02-08,7350000.0
2021-02-09,6421500.0
2021-02-10,4897600.0
2021-02-11,2832000.0
2021-02-12,2765800.0
2021-02-13,5441439.450757576
2021-02-14,5441439.450757576
2021-02-15,5441439.450757576
2021-02-16,5441439.450757576
2021-02-17,16036000.0
2021-02-18,13707500.0
2021-02-19,7911900.0
2021-02-20,5441439.450757576
2021-02-21,5441439.450757576
2021-02-22,4272000.0
2021-02-23,13826500.0
2021-02-24,7255000.0
2021-02-25,14661000.0
