margemBrutaAcumulada,percentualRisco,restricoes,empresa_MeEppMei,scorePontualidade,endividamento,estoque,faturamentoBruto,custos,kmeans
0.6517007468,0.0357142857142857,False,False,1.0,0.0,520648.0,1828644.0,796385.0,1
0.3989547761,0.0357142857142857,False,False,1.0,0.0,946764.0,2183981.0,884406.0,1
0.0,0.375,False,True,0.0,3223919.0,4198707.0,14218458.0,0.0,4
0.0,0.6071428571428571,True,True,0.0,0.0,0.0,407773.0,0.0,4
0.4027236194,0.0357142857142857,False,False,1.0,0.0,1954247.0,9218914.0,6448007.0,1
0.694806424,0.3571428571428571,False,True,0.8722997035,10276319.0,66764827.0,464781076.0,315508299.0,0
0.387283882,0.1964285714285714,False,True,1.0,0.0,1475537.0,1818035.0,0.0,0
0.3561099671,0.2321428571428571,False,False,1.0,0.0,867645.0,1934105.0,1159470.0,1
0.0,0.1607142857142857,False,False,0.0,0.0,208879.0,0.0,0.0,3
0.3970448653,0.3035714285714285,False,True,1.0,799099.0,0.0,12433554.0,0.0,0
0.3291950376,0.2142857142857142,False,True,0.8646590844,0.0,767084.0,2895486.0,2076374.0,0
0.4423953533,0.2857142857142857,False,False,0.2631797603,0.0,0.0,14144690.0,7999668.0,3
0.2668652632,0.4285714285714285,False,True,1.0,49100.0,94653.0,464709.0,0.0,0
0.3182457651,0.0892857142857142,False,False,1.0,0.0,30140.0,2885222.0,0.0,1
0.0,0.0892857142857142,False,False,0.0,186000000.0,417980000.0,2711601000.0,1916762000.0,3
0.0,0.1071428571428571,False,False,0.0,37436.0,4369160.0,19233107.0,13391191.0,3
0.0,0.1964285714285714,True,False,0.0,613311.0,443826.0,2345584.0,1621674.0,2
0.4570229717,0.4107142857142857,False,False,1.0,0.0,0.0,0.0,0.0,1
0.4582079121,0.1428571428571428,False,False,1.0,0.0,9692062.0,43411154.0,26671880.0,1
0.0992073268,0.2142857142857142,False,False,1.0,125138.0,151561.0,1428301.0,848070.0,1
0.1264242401,0.1071428571428571,False,False,1.0,1235500.0,1594900.0,23014397.0,16775861.0,1
0.2823176753,0.4642857142857142,False,False,1.0,0.0,16572.0,787817.0,0.0,1
0.2889611768,0.0357142857142857,True,False,1.0,0.0,4343948.0,27523088.0,24345419.0,2
0.4534146011,0.3571428571428571,False,True,1.0,0.0,73309.0,845983.0,360521.0,0
0.0,0.2678571428571428,False,True,0.0,0.0,459469.0,480144.0,204763.0,4
0.0,0.0535714285714285,True,False,0.0,0.0,0.0,84443992.0,73726777.0,2
0.3075976517,0.0892857142857142,True,False,1.0,0.0,1404886.0,2529657.0,1838786.0,2
0.4844514792,0.2857142857142857,False,True,0.9945021689,8412308.0,80963.0,24761286.0,136243550.0,0
0.319245789,0.25,True,False,0.8282728018,265504.0,230160.0,979702.0,541169.0,2
0.0,0.1964285714285714,False,True,0.0,133000.0,782211.0,4020326.0,2099460.0,4
0.0,0.2678571428571428,False,True,0.0,0.0,340712.0,6070436.0,1031430.0,4
0.5603958908,0.2142857142857142,False,False,0.9409008902,60657659.0,93981204.0,379738171.0,276789876.0,1
0.437155852,0.4285714285714285,False,True,1.0,0.0,0.0,397613.0,0.0,0
0.0,0.4285714285714285,False,True,0.0,0.0,0.0,611066.0,0.0,4
0.3700890405,0.1785714285714285,False,False,1.0,0.0,3145285.0,35373571.0,0.0,1
0.4236297224,0.4999999999999999,False,True,1.0,0.0,0.0,0.0,0.0,0
0.3123170713,0.0357142857142857,False,False,1.0,0.0,14113458.0,31519757.0,0.0,1
0.2811332533,0.0892857142857142,False,False,1.0,0.0,2895286.0,2426522.0,1661387.0,1
0.0,0.1071428571428571,False,False,0.0,109015.0,2356913.0,23714453.0,19684316.0,3
0.0,0.3035714285714285,False,True,0.0,0.0,0.0,903053.0,857351.0,4
0.384026764,0.2321428571428571,False,False,1.0,0.0,0.0,1473640.0,0.0,1
0.3945674711,0.1607142857142857,False,False,1.0,148556.0,554454.0,5365906.0,2871934.0,1
0.9375823775,0.1607142857142857,False,False,1.0,67000.0,515003.0,1577219.0,1115306.0,1
0.0,0.2142857142857142,False,False,0.0,67000.0,515003.0,1577219.0,1115306.0,3
